Sample,X,Y,Z
0,-0.012,0.273,0.969
1,0.008,0.004,0.984
2,0.016,0.000,1.000
3,0.012,0.008,0.984
4,0.008,0.008,0.996
5,0.004,0.023,0.984
6,0.016,0.004,1.000
7,0.012,0.004,0.984
8,0.004,0.000,0.996
9,0.016,0.012,0.992
10,0.008,0.000,0.992
11,0.016,0.004,0.988
12,0.016,0.004,1.012
13,0.008,0.008,0.988
14,0.016,-0.004,1.000
15,0.012,0.008,0.984
16,0.012,0.004,0.992
17,0.016,0.004,0.996
18,0.016,0.008,0.996
19,0.016,0.008,0.980
20,0.016,0.000,0.992
21,0.016,0.004,0.980
22,0.012,0.008,1.000
23,0.012,0.008,0.984
24,0.035,-0.012,1.027
25,0.000,0.000,0.980
26,0.008,0.008,0.980
27,0.039,0.008,0.984
28,0.023,0.000,0.992
29,0.027,0.008,0.977
30,0.012,0.004,0.996
31,0.027,0.008,0.988
32,0.012,0.004,0.996
33,0.008,0.004,0.984
34,0.008,0.004,0.988
35,0.016,0.008,0.988
36,0.012,0.000,0.992
37,0.020,0.012,0.988
38,0.012,0.016,0.996
39,0.012,0.016,0.992
40,0.016,0.008,0.996
41,0.016,0.008,0.984
42,0.012,0.008,0.996
43,0.016,0.012,0.980
44,0.012,0.004,0.992
45,0.012,0.008,0.992
46,0.008,0.012,0.988
47,0.020,0.008,0.988
48,0.004,-0.012,1.035
49,0.016,0.016,0.996
50,0.031,0.008,0.996
51,-0.004,0.020,0.926
52,0.020,0.008,0.980
53,0.020,0.008,0.969
54,0.004,0.012,0.992
55,0.008,0.008,0.992
56,0.012,0.008,0.984
57,0.012,0.008,0.980
58,0.016,0.020,0.992
59,0.023,0.016,0.992
60,0.055,-0.066,1.047
61,0.086,-0.293,1.082
62,-0.059,-0.254,0.949
63,-0.172,-0.133,0.809
64,0.031,-0.223,0.922
65,0.227,-0.285,1.078
66,0.117,-0.211,1.062
67,-0.043,-0.211,1.062
68,-0.090,-0.293,0.918
69,-0.020,-0.254,0.887
70,-0.016,-0.148,1.027
71,0.035,-0.059,1.023
72,0.098,-0.047,0.969
73,0.051,0.090,0.969
74,-0.035,0.172,1.148
75,-0.039,0.125,0.973
76,0.066,-0.043,0.926
77,-0.020,0.020,0.938
78,-0.055,0.090,1.082
79,0.020,0.012,1.105
80,0.070,-0.051,1.020
81,0.043,-0.109,0.805
82,0.020,-0.230,0.875
83,-0.020,-0.227,1.043
84,-0.012,-0.219,1.078
85,0.020,-0.238,1.012
86,0.039,-0.246,0.926
87,0.051,-0.219,0.875
88,-0.004,-0.078,0.973
89,-0.004,-0.016,1.125
90,0.023,0.016,1.086
91,0.043,0.027,0.945
92,0.031,0.012,0.906
93,-0.012,-0.008,1.031
94,-0.047,-0.004,1.094
95,-0.070,0.000,1.090
96,-0.008,-0.059,0.938
97,0.105,-0.098,0.848
98,0.086,-0.027,1.000
99,0.008,-0.031,1.066
Rate 1372, overflows 0
