Sample,X,Y,Z
0,-0.023,0.285,0.973
1,0.012,0.004,0.996
2,0.020,0.004,0.984
3,0.012,0.008,1.000
4,0.012,0.008,0.984
5,0.012,0.004,0.984
6,0.020,0.004,0.992
7,0.012,0.008,0.996
8,0.012,0.004,0.996
9,0.016,0.008,0.988
10,0.012,0.004,0.996
11,0.008,0.004,0.996
12,0.016,0.000,0.992
13,0.012,0.004,1.000
14,0.008,0.012,0.992
15,0.012,0.012,0.988
16,0.020,0.004,0.992
17,0.004,0.008,0.988
18,0.008,0.008,0.992
19,0.016,0.008,0.996
20,0.012,0.008,0.980
21,0.012,0.004,0.992
22,0.016,0.004,1.000
23,0.016,0.008,0.988
24,0.008,0.000,1.016
25,0.000,0.012,0.977
26,0.027,0.000,1.012
27,-0.004,0.000,0.922
28,0.020,0.000,1.031
29,0.031,0.000,1.020
30,0.016,0.008,0.984
31,0.016,0.008,0.996
32,0.016,0.004,0.996
33,0.020,0.012,0.984
34,0.020,0.004,0.992
35,0.004,0.008,0.980
36,0.016,0.004,0.992
37,0.016,0.000,0.992
38,0.016,0.008,0.992
39,0.012,0.008,0.988
40,0.016,0.008,0.988
41,0.008,0.008,0.984
42,0.012,0.004,0.992
43,0.012,0.004,0.984
44,0.027,0.004,0.984
45,0.020,0.000,0.996
46,0.016,0.000,0.988
47,0.012,0.012,1.000
48,0.020,0.004,1.016
49,-0.008,0.012,0.996
50,0.012,-0.004,0.984
51,0.012,0.008,0.988
52,0.012,-0.004,1.012
53,0.023,0.004,0.965
54,0.020,0.012,0.988
55,0.012,0.004,0.992
56,0.016,0.004,0.984
57,0.016,0.008,0.980
58,0.012,0.023,0.984
59,0.016,0.004,1.004
60,0.035,-0.039,1.035
61,0.102,-0.285,1.102
62,-0.035,-0.293,0.953
63,-0.184,-0.152,0.809
64,-0.031,-0.191,0.891
65,0.219,-0.285,1.055
66,0.164,-0.238,1.066
67,-0.023,-0.203,1.094
68,-0.105,-0.266,0.941
69,-0.020,-0.266,0.891
70,-0.023,-0.145,1.039
71,0.020,-0.031,1.043
72,0.098,-0.023,0.992
73,0.082,0.086,1.008
74,-0.016,0.195,1.109
75,-0.016,0.152,1.008
76,0.020,-0.043,0.895
77,-0.004,-0.020,0.906
78,-0.039,0.070,1.043
79,0.008,0.020,1.109
80,0.070,-0.047,1.039
81,0.078,-0.145,0.824
82,0.035,-0.238,0.836
83,-0.035,-0.242,1.008
84,0.000,-0.230,1.090
85,0.043,-0.246,1.008
86,0.062,-0.250,0.926
87,0.043,-0.207,0.883
88,0.008,-0.105,0.953
89,-0.020,-0.016,1.105
90,-0.008,0.016,1.109
91,0.039,0.012,0.938
92,0.047,0.039,0.879
93,0.008,0.031,1.027
94,-0.016,0.023,1.109
95,-0.066,0.027,1.121
96,-0.035,-0.043,0.965
97,0.070,-0.109,0.797
98,0.051,-0.059,0.922
99,0.008,-0.027,1.145
Rate 1372, overflows 0
